BILLS OF MATERIALS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tổng quỹ (VND),1.800.000 đ,Số quỹ còn lại (VND),1.800.000 đ,Tổng chi tiêu (VND),1.605.856 đ,Tổng tiền đã trích (VND),0 đ,,,
STT,Mã lô mua hàng,Người mua hàng,Đã giải ngân,Trạng thái đơn hàng,Link sản phẩm,Tên/Mô tả linh kiện,Số lượng/Đơn vị,Đơn vị đo,Hình thức,Cách thanh toán,Đơn giá (VND),Phí vận chuyển (VND),Tiền giảm giá (VND),Thành tiền (VND),Tổng tiền lô hàng (VND),Tổng tiền vận chuyển (VND),Tổng tiền giảm giá (VND),Tổng tiền (VND),Đã thanh toán,Bằng chứng mua hàng,Đã trích quỹ,Bằng chứng trích quỹ,Note
24,7,Khoa,FALSE,Đang vận chuyển,Shopee,Samsung 50G 21700 mới,4,Viên,Mua,Chuyển khoản,52.000 đ,37.300 đ,78.900 đ,166.400 đ,166.400 đ,0 đ,0 đ,166.400 đ,TRUE,C9 PoT,FALSE,,Đã đặt hàng chờ thủ quỹ
25,8,Khoa,FALSE,Đang vận chuyển,Shopee,Tụ hóa SAMWHA 25V 100uf chất lượng,10,Cái,Mua,Chuyển khoản,1.000 đ,22.000 đ,22.000 đ,10.000 đ,10.000 đ,0 đ,0 đ,10.000 đ,TRUE,C10 PoT,FALSE,,Đã đặt hàng chờ thủ quỹ
26,9,Khoa,FALSE,Mua trực tiếp,Thegioiic,Dây Bẹ Ribbon Màu Xám 14 Sợi 1.27mm 300V,1,Mét,Mua,Tiền mặt,9.200 đ,0 đ,0 đ,9.200 đ,143.300 đ,0 đ,300 đ,143.000 đ,TRUE,C11 PoT,FALSE,,Đã đặt hàng chờ thủ quỹ
27,,,,Mua trực tiếp,Thegioiic,Vít Nhọn KA M3 x 25mm 304,8,Con,Mua,Tiền mặt,1.000 đ,0 đ,0 đ,8.000 đ,,,,,,,,,
28,,,,Mua trực tiếp,Thegioiic,Trụ Nhựa HEX-M3 Đực-Cái Dài 5mm,20,Con,Mua,Tiền mặt,420 đ,0 đ,0 đ,8.400 đ,,,,,,,,,
29,,,,Mua trực tiếp,Thegioiic,Vít Máy KM M3 x 5mm,20,Con,Mua,Tiền mặt,250 đ,0 đ,0 đ,5.000 đ,,,,,,,,,
30,,,,Mua trực tiếp,Thegioiic,Tụ Gốm Tròn 100nF (0.1uF) 50V,20,Con,Mua,Tiền mặt,100 đ,0 đ,0 đ,2.000 đ,,,,,,,,,
31,,,,Mua trực tiếp,Thegioiic,Điện Trở 100 Ohm 1/4W 1% 5 Vòng Màu,50,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,2.800 đ,,,,,,,,,
32,,,,Mua trực tiếp,Thegioiic,Điện Trở 220 Ohm 1/4W 1% 5 Vòng Màu,100,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,5.600 đ,,,,,,,,,
33,,,,Mua trực tiếp,Thegioiic,Điện Trở 330 Ohm 1/4W 1% 5 Vòng Màu,50,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,2.800 đ,,,,,,,,,
34,,,,Mua trực tiếp,Thegioiic,Điện Trở 1 KOhm 1/4W 1% 5 Vòng Màu,100,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,5.600 đ,,,,,,,,,
35,,,,Mua trực tiếp,Thegioiic,Điện Trở 2.2 KOhm 1/4W 1% 5 Vòng Màu,50,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,2.800 đ,,,,,,,,,
36,,,,Mua trực tiếp,Thegioiic,Điện Trở 4.7 KOhm 1/4W 1% 5 Vòng Màu,100,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,5.600 đ,,,,,,,,,
37,,,,Mua trực tiếp,Thegioiic,Điện Trở 10 KOhm 1/4W 1% 5 Vòng Màu,100,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,5.600 đ,,,,,,,,,
38,,,,Mua trực tiếp,Thegioiic,Điện Trở 100 KOhm 1/4W 1% 5 Vòng Màu,100,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,5.600 đ,,,,,,,,,
39,,,,Mua trực tiếp,Thegioiic,Điện Trở 1 MOhm 1/4W 1% 5 Vòng Màu,50,Con,Mua,Tiền mặt,56 đ,0 đ,0 đ,2.800 đ,,,,,,,,,
40,,,,Mua trực tiếp,Thegioiic,Đai Ốc Thép M3,20,Con,Mua,Tiền mặt,300 đ,0 đ,0 đ,6.000 đ,,,,,,,,,
41,,,,Mua trực tiếp,Thegioiic,1N4001 Diode Chỉnh Lưu 1A 50V DO-41,20,Con,Mua,Tiền mặt,200 đ,0 đ,0 đ,4.000 đ,,,,,,,,,
42,,,,Mua trực tiếp,Thegioiic,IRF9530NPBF MOSFET Kênh P 100V 14A TO-220AB,3,Cái,Mua,Tiền mặt,8.500 đ,0 đ,0 đ,25.500 đ,,,,,,,,,
43,,,,Mua trực tiếp,Thegioiic,S8050-D Transistor NPN 25V 1.5A 3 Chân TO-92,20,Cái,Mua,Tiền mặt,300 đ,0 đ,0 đ,6.000 đ,,,,,,,,,
44,,,,Mua trực tiếp,Thegioiic,FR4 PCB Hàn Test Board 4x6cm Phủ Xanh 2 Mặt,2,Tấm,Mua,Tiền mặt,5.000 đ,0 đ,0 đ,10.000 đ,,,,,,,,,
45,,,,Mua trực tiếp,Thegioiic,SYB-170 Breadboard Cắm Linh Kiện 170 Lỗ,4,Cái,Mua,Tiền mặt,5.000 đ,0 đ,0 đ,20.000 đ,,,,,,,,,
46,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
47,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
48,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
49,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
50,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
51,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
52,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
53,,,FALSE,,,,0,,,,,,,0 đ,,,,0 đ,FALSE,,FALSE,,
